rank,rikishi,heya,w,l
Ms9w,Akinokawa,Takadagawa,3,4
Ms10e,Terutsuyoshi,Isegahama,6,1
Ms10w,Irodori,Shikoroyama,3,4
Ms11e,Gochozan,Minezaki,2,5
Ms11w,Nogami,Oguruma,2,5
Ms12e,Sakigake,Shibatayama,4,3
Ms12w,Kotoeko,Sadogatake,5,2
Ms13e,Tochimaru,Kasugano,6,1
Ms13w,Sato,Takanohana,4,3
Ms14e,Ryuonami,Tatsunami,3,4
Ms14w,Aiyama,Yamahibiki,3,4
Ms15e,Keitenkai,Onomatsu,4,3
Ms15w,Hishofuji,Azumazeki,4,3
Ms15TD,Sakamoto,Oitekaze,4,3
Ms16e,Daiki,Hakkaku,5,2
Ms16w,Wakaryusei,Shibatayama,1,6
Ms17e,Tetsuyuzan,Onomatsu,2,5
Ms17w,Meisei,Tatsunami,3,4
Ms18e,Hamaguchi,Kise,6,1
Ms18w,Higoarashi,Kise,3,4
Ms19e,Daishoryu,Oitekaze,2,5
Ms19w,Kisenoyama,Kise,3,4
Ms20e,Higonojo,Kise,2,5
Ms20w,Takaryu,Kise,4,3
Ms21e,Byakko,Azumazeki,2,5
Ms21w,Sasanoyama,Kise,3,4
Ms22e,Kansei,Sakaigawa,5,2
Ms22w,Tochinobori,Kasugano,5,2
Ms23e,Daiseiho,Shibatayama,4,3
Ms23w,Rikishin,Tatsunami,3,4
Ms24e,Iwasaki,Oitekaze,4,3
Ms24w,Onami,Arashio,3,4
Ms25e,Oiwato,Hakkaku,2,5
Ms25w,Dairaido,Takadagawa,4,3
Ms26e,Masunosho,Chiganoura,4,3
Ms26w,Nionoumi,Yamahibiki,5,2
Ms27e,Nankairiki,Kise,1,6
Ms27w,Dewaotori,Dewanoumi,3,4
Ms28e,Kotomisen,Sadogatake,5,2
Ms28w,Hokaho,Miyagino,5,2
Ms29e,Mizuguchi,Kasugayama,4,3
Ms29w,Yamatofuji,Onomatsu,4,3
Ms30e,Okinofuji,Hakkaku,4,3
Ms30w,Sagatsukasa,Irumagawa,5,2
Ms31e,Nishiyama,Onoe,1,6
Ms31w,Yoshiazuma,Tamanoi,2,5
Ms32e,Tsurubayashi,Kise,5,2
Ms32w,Kihonoumi,Dewanoumi,3,4
Ms33e,Kotofukujuno,Sadogatake,3,4
Ms33w,Tochinohama,Kasugano,2,5
Ms34e,Okoryu,Sakaigawa,2,5
Ms34w,Kotokobai,Sadogatake,3,4
Ms35e,Suzaku,Hakkaku,5,2
Ms35w,Azumasato,Tamanoi,1,6
Ms36e,Aozora,Kasugano,4,3
Ms36w,Shinohara,Onomatsu,2,5
Ms37e,Mugendai,Fujishima,4,3
Ms37w,Yamaguchi,Miyagino,5,2
Ms38e,Kaiseio,Asakayama,0,1
Ms38w,Chiyosakae,Kokonoe,4,3
Ms39e,Kotokino,Sadogatake,3,4
Ms39w,Takamisato,Azumazeki,4,3
Ms40e,Musashiumi,Fujishima,3,4
Ms40w,Takakasuga,Kasugayama,3,4
Ms41e,Ozora,Minezaki,4,3
Ms41w,Rao,Tatsunami,2,5
Ms42e,Tochihayate,Kasugano,4,3
Ms42w,Koba,Kise,5,2
Ms43e,Horyuyama,Tamanoi,4,3
Ms43w,Kotokuzan,Arashio,3,4
Ms44e,Sasayama,Kise,3,4
Ms44w,Ryuseio,Shibatayama,2,5
Ms45e,Daishoiwa,Oitekaze,6,1
Ms45w,Hitenryu,Tatsunami,3,4
Ms46e,Mitoyutaka,Nishikido,3,4
Ms46w,Aonosho,Dewanoumi,1,6
Ms47e,Kotaro,Fujishima,6,1
Ms47w,Akinoyama,Takadagawa,4,3
Ms48e,Fukugoriki,Arashio,3,4
Ms48w,Masakaze,Oguruma,3,4
Ms49e,Tokachiumi,Hakkaku,5,2
Ms49w,Sotairyu,Tokitsukaze,5,2
Ms50e,Genkaiho,Otake,3,4
Ms50w,Terao,Shikoroyama,5,2
Ms51e,Shoketsu,Shibatayama,2,5
Ms51w,Katsunofuji,Sakaigawa,4,3
Ms52e,Komakiryu,Kise,4,3
Ms52w,Kirinofuji,Michinoku,2,5
Ms53e,Tomisakae,Isegahama,4,3
Ms53w,Takayoshitoshi,Takanohana,5,2
